prompt_id,prompt_name,scope,autoexec_cell,input_tabs,output_tab,tooling_note
PMP-001,Generate_Creative_Brief_Summary_01,Workbook,A1,Dashboard|Projects|Tasks,Dashboard,LLM_reads_workbook_executes_A1_then_offers_3_actions
PMP-002,Draft_Shotlist_02,Projects,A1,Projects|Assets|Shots,Outputs,Safe-mode_no_writeback_without_confirm
PMP-003,Extract_Client_Notes_03,Assets,A1,Campaigns|Projects,Prompts,Summarize_then_propose_next_steps
PMP-004,Risk_Scan_Brand_Safety_04,Shots,A1,Tasks|Assets,Dashboard,LLM_reads_workbook_executes_A1_then_offers_3_actions
PMP-005,Auto-Produce_Daily_Standup_05,Tasks,A1,Dashboard|Projects|Tasks,Outputs,Safe-mode_no_writeback_without_confirm
PMP-006,Create_Social_Caption_Variants_06,Campaigns,A1,Projects|Assets|Shots,Prompts,Summarize_then_propose_next_steps
PMP-007,Generate_Asset_QC_Checklist_07,Workbook,A1,Campaigns|Projects,Dashboard,LLM_reads_workbook_executes_A1_then_offers_3_actions
PMP-008,Version_Delta_Summary_08,Projects,A1,Tasks|Assets,Outputs,Safe-mode_no_writeback_without_confirm
PMP-009,Approval_Email_Draft_09,Assets,A1,Dashboard|Projects|Tasks,Prompts,Summarize_then_propose_next_steps
PMP-010,What_Would_You_Like_To_Do_Today_10,Shots,A1,Projects|Assets|Shots,Dashboard,LLM_reads_workbook_executes_A1_then_offers_3_actions
PMP-011,Generate_Creative_Brief_Summary_11,Tasks,A1,Campaigns|Projects,Outputs,Safe-mode_no_writeback_without_confirm
PMP-012,Draft_Shotlist_12,Campaigns,A1,Tasks|Assets,Prompts,Summarize_then_propose_next_steps
PMP-013,Extract_Client_Notes_13,Workbook,A1,Dashboard|Projects|Tasks,Dashboard,LLM_reads_workbook_executes_A1_then_offers_3_actions
PMP-014,Risk_Scan_Brand_Safety_14,Projects,A1,Projects|Assets|Shots,Outputs,Safe-mode_no_writeback_without_confirm
PMP-015,Auto-Produce_Daily_Standup_15,Assets,A1,Campaigns|Projects,Prompts,Summarize_then_propose_next_steps
PMP-016,Create_Social_Caption_Variants_16,Shots,A1,Tasks|Assets,Dashboard,LLM_reads_workbook_executes_A1_then_offers_3_actions
PMP-017,Generate_Asset_QC_Checklist_17,Tasks,A1,Dashboard|Projects|Tasks,Outputs,Safe-mode_no_writeback_without_confirm
PMP-018,Version_Delta_Summary_18,Campaigns,A1,Projects|Assets|Shots,Prompts,Summarize_then_propose_next_steps
PMP-019,Approval_Email_Draft_19,Workbook,A1,Campaigns|Projects,Dashboard,LLM_reads_workbook_executes_A1_then_offers_3_actions
PMP-020,What_Would_You_Like_To_Do_Today_20,Projects,A1,Tasks|Assets,Outputs,Safe-mode_no_writeback_without_confirm
PMP-021,Generate_Creative_Brief_Summary_21,Assets,A1,Dashboard|Projects|Tasks,Prompts,Summarize_then_propose_next_steps
PMP-022,Draft_Shotlist_22,Shots,A1,Projects|Assets|Shots,Dashboard,LLM_reads_workbook_executes_A1_then_offers_3_actions
PMP-023,Extract_Client_Notes_23,Tasks,A1,Campaigns|Projects,Outputs,Safe-mode_no_writeback_without_confirm
PMP-024,Risk_Scan_Brand_Safety_24,Campaigns,A1,Tasks|Assets,Prompts,Summarize_then_propose_next_steps
PMP-025,Auto-Produce_Daily_Standup_25,Workbook,A1,Dashboard|Projects|Tasks,Dashboard,LLM_reads_workbook_executes_A1_then_offers_3_actions
