ClaimID,Claim,Source,SourceType,Confidence_pct,EvidenceStrength_0to100,CounterEvidence_0to100,DateCaptured,StaleDays,CredibilityScore,LinkedDecisionID,Tags,Notes
CLM-001,Cloud ERP reduces operational cost by 20%,Gartner 2025 Report,Internal,73,62,18,2026-01-03,47,28.0,DEC-001,tag-a,Note for claim 1
CLM-002,QA defect backlog increased 40% YoY,Internal metrics dashboard,External,67,84,9,2026-01-04,43,44.3,DEC-002,tag-b,Note for claim 2
CLM-003,Legacy API has zero external consumers,API gateway logs,LLM,90,50,39,2026-01-05,51,8.5,DEC-003,tag-c,Note for claim 3
CLM-004,Container adoption reduces deploy time by 50%,DevOps pilot report,Expert,65,50,34,2026-01-06,29,9.6,DEC-004,tag-d,Note for claim 4
CLM-005,Vendor contract 30% above market rate,Procurement analysis,Internal,67,80,40,2026-01-07,19,25.4,DEC-005,tag-e,Note for claim 5
CLM-006,Data eng team velocity dropped 20%,Sprint velocity tracker,External,93,60,8,2026-01-08,19,45.8,DEC-006,tag-f,Note for claim 6
CLM-007,Five reporting tools overlap 60% in features,IT asset audit,LLM,52,91,25,2026-01-09,30,31.5,DEC-007,tag-a,Note for claim 7
CLM-008,NPS decreased 12 points last quarter,Customer survey Q4,Expert,67,44,18,2026-01-10,41,15.5,DEC-008,tag-b,Note for claim 8
CLM-009,Network switches exceed 7-year lifecycle,Infrastructure inventory,Internal,95,60,18,2026-01-11,46,34.9,DEC-009,tag-c,Note for claim 9
CLM-010,14 access control gaps found in audit,Security audit report,External,81,65,34,2026-01-12,14,24.1,DEC-010,tag-d,Note for claim 10
CLM-011,Remote attrition increased 15% in 2025,HR analytics dashboard,LLM,66,48,20,2026-01-13,52,15.8,DEC-011,tag-e,Note for claim 11
CLM-012,PR review cycle time is 3x industry median,GitHub metrics,Expert,85,74,21,2026-01-14,52,38.6,DEC-012,tag-f,Note for claim 12
CLM-013,Event-driven pilot reduced latency 40%,Architecture team POC,Internal,87,67,42,2026-01-15,30,20.0,DEC-013,tag-a,Note for claim 13
CLM-014,Data warehouse queries exceed SLA weekly,Query performance logs,External,73,54,13,2026-01-16,37,26.9,DEC-014,tag-b,Note for claim 14
CLM-015,Competitor launched innovation lab in Q3,Industry news report,LLM,81,45,8,2026-01-17,60,25.0,DEC-015,tag-c,Note for claim 15
CLM-016,ICs average 18 hours per week in meetings,Calendar analytics,Expert,57,49,45,2026-02-18,15,2.2,DEC-016,tag-d,Note for claim 16
CLM-017,Manual compliance review takes 80 hours,Compliance team log,Internal,93,67,43,2026-02-19,9,21.8,DEC-017,tag-e,Note for claim 17
CLM-018,P99 latency exceeds 500ms threshold,APM monitoring tool,External,74,64,43,2026-02-20,34,14.1,DEC-018,tag-f,Note for claim 18
CLM-019,Support ticket resolution time up 25%,Support desk analytics,LLM,83,56,40,2026-02-21,60,11.1,DEC-019,tag-a,Note for claim 19
CLM-020,BI team backlog exceeds 6-month runway,BI backlog tracker,Expert,50,83,12,2026-02-22,48,30.8,DEC-020,tag-b,Note for claim 20
CLM-021,Knowledge silos identified in 3 retros,Engineering retro notes,Internal,84,88,22,2026-02-23,54,47.2,DEC-021,tag-c,Note for claim 21
CLM-022,Regression suite requires 4 hours manual run,QA team estimate,External,91,61,12,2026-02-24,23,41.8,DEC-022,tag-d,Note for claim 22
CLM-023,SSO fragmented across 3 identity providers,IAM audit report,LLM,77,50,34,2026-02-25,5,12.2,DEC-023,tag-e,Note for claim 23
CLM-024,Cross-team escalations increased 35%,Escalation tracker,Expert,66,72,16,2026-02-26,37,33.2,DEC-024,tag-f,Note for claim 24
CLM-025,Long-lived branches cause 40% merge conflicts,Git branch analysis,Internal,56,95,45,2026-02-27,24,26.2,DEC-025,tag-a,Note for claim 25
