project_id,campaign_id,project_name,workstream,owner_role,priority,due_date,status,risk_flag
PRJ-001,CA-002,Asset_Pack_01,Short-Form,Art_Director,P1,2026-02-28,Active,Yellow
PRJ-002,CA-003,Asset_Pack_02,Social_Static,Producer,P2,2026-03-02,Blocked,Red
PRJ-003,CA-004,Asset_Pack_03,AR_Filter,Motion_Lead,P0,2026-03-04,Review,Green
PRJ-004,CA-005,Asset_Pack_04,Web_UI,Creative_Director,P1,2026-03-06,Done,Yellow
PRJ-005,CA-006,Asset_Pack_05,Retail_Motion,Art_Director,P2,2026-03-08,Backlog,Red
PRJ-006,CA-007,Asset_Pack_06,Brand_Film,Producer,P0,2026-03-10,Active,Green
PRJ-007,CA-008,Asset_Pack_07,Short-Form,Motion_Lead,P1,2026-03-12,Blocked,Yellow
PRJ-008,CA-009,Asset_Pack_08,Social_Static,Creative_Director,P2,2026-03-14,Review,Red
PRJ-009,CA-010,Asset_Pack_09,AR_Filter,Art_Director,P0,2026-03-16,Done,Green
PRJ-010,CA-011,Asset_Pack_10,Web_UI,Producer,P1,2026-03-18,Backlog,Yellow
PRJ-011,CA-012,Asset_Pack_11,Retail_Motion,Motion_Lead,P2,2026-03-20,Active,Red
PRJ-012,CA-013,Asset_Pack_12,Brand_Film,Creative_Director,P0,2026-03-22,Blocked,Green
PRJ-013,CA-014,Asset_Pack_13,Short-Form,Art_Director,P1,2026-03-24,Review,Yellow
PRJ-014,CA-015,Asset_Pack_14,Social_Static,Producer,P2,2026-03-26,Done,Red
PRJ-015,CA-016,Asset_Pack_15,AR_Filter,Motion_Lead,P0,2026-03-28,Backlog,Green
PRJ-016,CA-017,Asset_Pack_16,Web_UI,Creative_Director,P1,2026-03-30,Active,Yellow
PRJ-017,CA-018,Asset_Pack_17,Retail_Motion,Art_Director,P2,2026-04-01,Blocked,Red
PRJ-018,CA-019,Asset_Pack_18,Brand_Film,Producer,P0,2026-04-03,Review,Green
PRJ-019,CA-020,Asset_Pack_19,Short-Form,Motion_Lead,P1,2026-04-05,Done,Yellow
PRJ-020,CA-021,Asset_Pack_20,Social_Static,Creative_Director,P2,2026-04-07,Backlog,Red
PRJ-021,CA-022,Asset_Pack_21,AR_Filter,Art_Director,P0,2026-04-09,Active,Green
PRJ-022,CA-023,Asset_Pack_22,Web_UI,Producer,P1,2026-04-11,Blocked,Yellow
PRJ-023,CA-024,Asset_Pack_23,Retail_Motion,Motion_Lead,P2,2026-04-13,Review,Red
PRJ-024,CA-025,Asset_Pack_24,Brand_Film,Creative_Director,P0,2026-04-15,Done,Green
PRJ-025,CA-001,Asset_Pack_25,Short-Form,Art_Director,P1,2026-04-17,Backlog,Yellow
