PromptID,PromptName,Category,Version,SuccessRate_pct,AvgRating_1to5,DriftFlag,UsageCount,LastUsed,PromptHealth,Owner,Notes
PRM-001,Executive Analysis,Decision,2.2,87,3.1,None,67,2026-02-07,72.0,J. Rivera,Prompt 1 note
PRM-002,Reality Assessment,Perception,1.3,91,3.9,None,36,2026-02-16,83.2,M. Chen,Prompt 2 note
PRM-003,Team Workbook Triage,Governance,1.6,61,2.7,None,60,2026-02-12,56.8,A. Patel,Prompt 3 note
PRM-004,Assumption Audit,Maintenance,2.1,84,4.7,None,11,2026-02-21,90.0,S. Kim,Prompt 4 note
PRM-005,Decision Compression Check,Analysis,0.3,58,3.5,None,48,2026-02-04,65.2,L. Torres,Prompt 5 note
PRM-006,Risk Prioritization,Decision,0.4,67,3.8,None,22,2026-02-14,72.4,R. Nakamura,Prompt 6 note
PRM-007,Evidence Synthesis,Perception,2.1,84,3.1,None,14,2026-02-15,70.8,D. Williams,Prompt 7 note
PRM-008,Counter-Evidence Scan,Governance,0.3,58,4.1,None,74,2026-02-01,72.4,K. Larsen,Prompt 8 note
PRM-009,Stakeholder Impact Map,Maintenance,1.0,65,3.5,None,66,2026-02-07,68.0,J. Rivera,Prompt 9 note
PRM-010,Drift Detection Sweep,Analysis,1.4,65,3.4,None,54,2026-02-09,66.8,M. Chen,Prompt 10 note
PRM-011,Patch Recommendation,Decision,0.3,82,4.2,None,76,2026-02-16,83.2,A. Patel,Prompt 11 note
PRM-012,Budget Impact Review,Perception,2.8,73,3.0,None,12,2026-02-19,65.2,S. Kim,Prompt 12 note
PRM-013,Timeline Feasibility,Governance,2.7,58,4.4,None,12,2026-02-02,76.0,L. Torres,Prompt 13 note
PRM-014,Dependency Mapping,Maintenance,0.8,87,4.8,None,72,2026-02-06,92.4,R. Nakamura,Prompt 14 note
PRM-015,Confidence Calibration,Analysis,0.3,60,4.6,None,13,2026-02-20,79.2,D. Williams,Prompt 15 note
PRM-016,Claim Freshness Check,Decision,2.9,80,2.8,Minor,77,2026-02-08,55.6,K. Larsen,Prompt 16 note
PRM-017,Action Item Extractor,Perception,2.8,57,4.0,Minor,58,2026-02-19,60.8,J. Rivera,Prompt 17 note
PRM-018,Meeting Notes Parser,Governance,0.4,75,4.8,Minor,31,2026-02-11,77.6,M. Chen,Prompt 18 note
PRM-019,Status Report Generator,Maintenance,1.1,80,2.8,Minor,43,2026-02-15,55.6,A. Patel,Prompt 19 note
PRM-020,Option Comparison Matrix,Analysis,0.8,55,3.6,Minor,77,2026-02-04,55.2,S. Kim,Prompt 20 note
PRM-021,Escalation Trigger Check,Decision,0.3,68,3.8,Minor,21,2026-02-12,62.8,L. Torres,Prompt 21 note
PRM-022,SLA Compliance Scan,Perception,2.4,78,3.2,Major,61,2026-02-18,44.6,R. Nakamura,Prompt 22 note
PRM-023,Vendor Risk Assessment,Governance,2.8,94,5.0,Major,72,2026-02-01,72.6,D. Williams,Prompt 23 note
PRM-024,Resource Allocation Review,Maintenance,1.1,74,4.8,Major,18,2026-02-05,62.2,K. Larsen,Prompt 24 note
PRM-025,Quarterly Retrospective,Analysis,1.9,61,4.4,Major,24,2026-02-09,52.2,J. Rivera,Prompt 25 note
